No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W8011294A9FO,VINTAGE LONG BEACH CAMI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,3.000000000000000000,983
M7010793A3LS,CORE CARGO,M,70,PANT,B4,Woven Pant,5.000000000000000000,920
M7110397A01C,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,3.000000000000000000,837
M7110401ALO3,VINTAGE HEAVY CARGO SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,678
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,676
W8011294A8RF,VINTAGE LONG BEACH CAMI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,2.000000000000000000,644
M1110247A5EY,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),5.000000000000000000,620
M1011002A8ZC,VL EMBOSS TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,588
M1011637ABQF,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,588
M7110394A7BN,VINTAGE STRAIGHT SHORT,M,71,SHORT,M1,Denim Short,2.000000000000000000,558

