No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1110349ALO3,APPLIQUE CLASSIC FIT POLO,M,11,POLO,T1,Pique Polo (M),4.000000000000000000,498
M2012916A02A,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,3.000000000000000000,599
Y9110252AADQ,CODE MONTANA BACKPACK,G,91,BAGS,Y1,Rucksack,2.000000000000000000,249
M1011473A00C,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,168
M1011754A3KO,CORE LOGO CLASSIC T SHIRT,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,340
M1011822ABII,RS FOOTBALL ARGENTINA TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,108
M1011245A44C,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),2.000000000000000000,194
M1011245AS6M,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),2.000000000000000000,129
M2013105AJAR,SPORTSWEAR LOGO LOOSE ZIP HOOD,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,738
M4010623A01C,VINTAGE OXFORD S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,419

