No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011814A34C,RS FOOTBALL GERMANY TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),13.000000000000000000,697
M1011306A98T,VINTAGE SCRIPT STYLE COLL TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),11.000000000000000000,869
M1011472A39E,VINTAGE VL TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),10.000000000000000000,832
M1011473A00Q,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),10.000000000000000000,840
W1011165A8OW,VINTAGE SCRIPT STYLE EMB TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),9.000000000000000000,600
M1011821AV5V,RS FOOTBALL NETHERLANDS TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),9.000000000000000000,486
M1011386A9SN,VINTAGE CL CLASSIC TEE MW,M,10,T.SHIRT,C1,Printed T.Shirt (M),8.000000000000000000,624
M1011472AZUC,VINTAGE VL TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),8.000000000000000000,672
M1011322AZUC,VINTAGE VL INTEREST TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,649
M1011245A5YC,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),7.000000000000000000,448

