"Offer No."	"Type"	"No."	"Variant Type"	"Variant Code"	"Exclude"	"Unit of Measure"	"Description"	"No. of Items Needed"	"Line Group"	"Deal Price/Disc. %"	"Disc. Type"	"Standard Price"	"Standard Price Including VAT"	"Discount Amount"	"Discount Amount Including VAT"	"Offer Price"	"Offer Price Including VAT"

"QAT-MM-00009"	"Item"	"5057101429501"	" "	""	"No"	""	"1979 HAWAII BOXY TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5057847648259"	" "	""	"No"	""	"CODE CL LINEAR LOOSE TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5057847648266"	" "	""	"No"	""	"CODE CL LINEAR LOOSE TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5057847648273"	" "	""	"No"	""	"CODE CL LINEAR LOOSE TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5057847648396"	" "	""	"No"	""	"CODE CL LINEAR LOOSE TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5057847648402"	" "	""	"No"	""	"CODE CL LINEAR LOOSE TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5057847648419"	" "	""	"No"	""	"CODE CL LINEAR LOOSE TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726496296"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496302"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496319"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496326"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496333"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496364"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496371"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496388"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496395"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726496401"	" "	""	"No"	""	"CODE SURPLUS OS BOXY TEE"	"0"	""	"50.29586"	"Disc. %"	"169.00"	"169.00"	"85.00"	"85.00"	"84.00"	"84.00"
"QAT-MM-00009"	"Item"	"5059726411442"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726411459"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726411466"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726411473"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726411480"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726411503"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
"QAT-MM-00009"	"Item"	"5059726411510"	" "	""	"No"	""	"VINTAGE ATHLETIC RINGER TEE"	"0"	""	"50.31447"	"Disc. %"	"159.00"	"159.00"	"80.00"	"80.00"	"79.00"	"79.00"
